Institution,# of citing papers,# of citing researchers,Researchers,Raw Affiliations
NVIDIA,7,6,Apoorva Sharma; Boris Ivanovic; Boyi Li; Marco Pavone; Xinshuo Weng; Yuxiao Chen,"NVIDIA | NVIDIA Research, UC Berkeley | Nvidia | Research Scientist, NVIDIA | Senior Research Scientist @ NVIDIA | CMU Robotics | ex-Meta | Stanford University and NVIDIA"
Google Deepmind or Google,5,5,Anirudha Majumdar; Dmitry Kalashnikov; James Harrison; Mohit Sharma; Simon Geisler,"Associate Professor, Princeton University & Visiting Research Scientist, Google DeepMind | Google | Google DeepMind | Google Research"
Toyota Research Institute,5,3,Chen Xu; Haruki Nishimura; Thomas Lew,Toyota Research Institute | Toyota Research Institute (TRI)
Amazon Prime Air,2,1,Taylor Patrick Reynolds,Amazon Prime Air
"Argotec, Italy",1,1,Davide Celestini,GNC Engineer @ Argotec Srl
Bosch,2,1,Xuda Ding,Bosch Central Research
Honda Research Institute,1,1,Soshi Iba,Honda Research Institute USA
OpenAI,1,1,Shengjia Zhao,OpenAI
Plus AI,1,1,Alessandro Saviolo,Senior Autonomy Engineer at PlusAI
SpaceX,2,1,Danylo Malyuta,"GNC Engineer, SpaceX"
"Tencent, China",1,1,Nanze Chen,"AI Engineer, Tencent"
Tesla,1,1,Patrick Hart,Autopilot @ Tesla AI
Tyvak,2,1,Marco Visca,Tyvak International
